time,sim_t,x,y,z,vx,vy,vz,yaw_deg
2026-04-13T20:17:47.651178,1776122233.6303544,0.0,0.0,2.8180856704711914,0.0,0.0,0.0,4.4079723524229495
2026-04-13T20:17:47.761211,1776122233.7383568,0.0,0.0,2.8180856704711914,0.0,0.0,0.0,4.4079723524229495
2026-04-13T20:17:47.869243,1776122233.846359,0.0,0.0,2.8180856704711914,0.0,0.0,0.0,4.4079723524229495
2026-04-13T20:17:47.977767,1776122233.9543614,0.0,0.0,2.8180856704711914,0.0,0.0,0.0,4.4079723524229495
2026-04-13T20:17:48.086286,1776122234.0623636,0.0,0.0,2.8180856704711914,0.0,0.0,0.0,4.4079723524229495
2026-04-13T20:17:48.194837,1776122234.170366,0.0,0.0,2.8180856704711914,0.0,0.0,0.0,4.4079723524229495
2026-04-13T20:17:48.303870,1776122234.2783682,0.0,0.0,2.8180856704711914,0.0,0.0,0.0,4.4079723524229495
2026-04-13T20:17:48.411912,1776122234.3833704,0.0,0.0,2.8180856704711914,0.0,0.0,0.0,4.4079723524229495
2026-04-13T20:17:48.519435,1776122234.4913728,0.0,0.0,2.8180856704711914,0.0,0.0,0.0,4.4079723524229495
2026-04-13T20:17:48.628641,1776122234.599375,0.0,0.0,2.8180856704711914,0.0,0.0,0.0,4.4079723524229495
2026-04-13T20:17:48.738178,1776122234.7073774,0.0,0.0,2.8180856704711914,0.0,0.0,0.0,4.4079723524229495
2026-04-13T20:17:48.845705,1776122234.8123796,0.0,0.0,2.8180856704711914,0.0,0.0,0.0,4.4079723524229495
2026-04-13T20:17:48.953391,1776122234.920382,0.0,0.0,2.8180856704711914,0.0,0.0,0.0,4.4079723524229495
2026-04-13T20:17:49.062421,1776122235.0283842,0.0,0.0,2.8180856704711914,0.0,0.0,0.0,4.4079723524229495
2026-04-13T20:17:49.171454,1776122235.1363866,0.0,0.0,2.8180856704711914,0.0,0.0,0.0,4.4079723524229495
2026-04-13T20:17:49.279976,1776122235.2443888,0.0,0.0,2.8180856704711914,0.0,0.0,0.0,4.4079723524229495
2026-04-13T20:17:49.387989,1776122235.3523912,0.0,0.0,2.79565691947937,0.0,0.0,-0.37255069613456726,4.4079723524229495
2026-04-13T20:17:49.496517,1776122235.4603934,0.0,0.0,2.7508785724639893,0.0,0.0,-0.4366813600063324,4.4079723524229495
2026-04-13T20:17:49.605041,1776122235.5683959,0.0,0.0,2.7029435634613037,0.0,0.0,-0.44875460863113403,4.4079723524229495
2026-04-13T20:17:49.713246,1776122235.676398,0.0,0.0,2.6541385650634766,0.0,0.0,-0.4546893835067749,4.4079723524229495
2026-04-13T20:17:49.821766,1776122235.7844005,0.0,0.0,2.6047675609588623,0.0,0.0,-0.45945167541503906,4.4079723524229495
2026-04-13T20:17:49.929786,1776122235.8924026,0.0,0.0,2.5549159049987793,0.0,0.0,-0.4636287987232208,4.4079723524229495
2026-04-13T20:17:50.038808,1776122235.9974048,0.0,0.0,2.5060408115386963,0.0,0.0,-0.46723759174346924,4.4079723524229495
