dateString,timestamp[ms],rssi[dBm],snr[dB],longitude,latitude,height[m],altitude[m a.s.l.],speed[m/s],depth[m],runID
2025-04-02T15:23:52.980,1743600232980,-104,6.5,11.8268410256579,46.3792085393692,39.7764,1913.2296,4.83736261888,0.6,1
2025-04-02T15:23:53.190,1743600233190,-104,7.25,11.8268475232816,46.3792006214795,39.7764,1913.2296,5.0606403232,0.6,1
2025-04-02T15:23:53.400,1743600233400,-106,6,11.82685444736,46.3791925695395,39.68496,1913.2296,5.28394663808,0.6,1
2025-04-02T15:23:53.609,1743600233609,-107,4.75,11.8268615302416,46.379184223703,39.68496,1913.2296,5.33386267744,0.6,1
2025-04-02T15:23:53.819,1743600233819,-107,5.25,11.826868489775,46.3791757661693,39.68496,1913.2296,5.33386267744,0.6,1
2025-04-02T15:23:54.028,1743600234028,-107,5.25,11.8268754788048,46.3791673595255,39.68496,1913.2296,5.28394663808,0.6,1
2025-04-02T15:23:54.238,1743600234238,-104,7.25,11.8268823659383,46.3791590627631,39.59352,1912.9248,5.28394663808,0.6,1
2025-04-02T15:23:54.448,1743600234448,-103,8,11.8268927732593,46.3791467284259,39.59352,1912.9248,5.28394663808,0.6,1
2025-04-02T15:23:54.657,1743600234657,-103,8,11.8269000138517,46.3791379710006,39.4716,1912.9248,5.19712297632,0.6,1
2025-04-02T15:23:54.868,1743600234868,-103,7.75,11.8269065922177,46.3791301260027,39.4716,1912.9248,5.19712297632,0.6,1
2025-04-02T15:23:55.077,1743600235077,-103,7.5,11.8269131549914,46.37912194647,39.4716,1912.9248,5.14782340512,0.6,1
2025-04-02T15:23:55.287,1743600235287,-103,8.25,11.8269200090533,46.3791139032144,39.4716,1912.9248,5.14782340512,0.6,1
2025-04-02T15:23:55.496,1743600235496,-103,7.25,11.8269267880338,46.3791057711201,39.4716,1912.9248,5.0606403232,0.6,1
2025-04-02T15:23:55.706,1743600235706,-104,7,11.8269334079131,46.3790977883464,39.38016,1912.9248,5.0606403232,0.6,1
2025-04-02T15:23:55.915,1743600235915,-104,8,11.8269433703071,46.3790859347385,39.38016,1912.9248,5.0606403232,0.6,1
2025-04-02T15:23:56.125,1743600236125,-102,7.5,11.826950066559,46.3790780324703,39.38016,1912.9248,4.97394004448,0.6,1
2025-04-02T15:23:56.335,1743600236335,-101,8.5,11.8269563739962,46.3790705115757,39.38016,1912.9248,4.97394004448,0.6,1
2025-04-02T15:23:56.544,1743600236544,-100,9.25,11.826963215048,46.3790623002776,39.38016,1912.9248,4.97394004448,0.6,1
2025-04-02T15:23:56.755,1743600236755,-100,9.25,11.8269699572822,46.379054520532,39.28872,1912.62,4.97394004448,0.6,1
2025-04-02T15:23:56.972,1743600236972,-99,9.5,11.8269764796351,46.379046756836,39.28872,1912.62,4.97394004448,0.6,1
2025-04-02T15:23:57.180,1743600237180,-98,9.75,11.8269828287842,46.3790390260061,39.28872,1912.62,4.92443662304,0.6,1
2025-04-02T15:23:57.386,1743600237386,-98,10,11.8269890051269,46.3790314038757,39.28872,1912.62,4.92443662304,0.6,1
2025-04-02T15:23:57.600,1743600237600,-98,9.75,11.8269956204378,46.3790232746461,39.19728,1912.62,4.92443662304,0.6,1
2025-04-02T15:23:57.807,1743600237807,-100,8.25,11.8270019049334,46.3790159139018,39.19728,1912.62,4.92443662304,0.6,1
2025-04-02T15:23:58.018,1743600238018,-100,8.25,11.82701160633,46.3790039503418,39.07536,1912.62,4.83736261888,0.6,1
2025-04-02T15:23:58.225,1743600238225,-102,8,11.8270181912508,46.3789962094058,39.07536,1912.62,4.83736261888,0.6,1
2025-04-02T15:23:58.436,1743600238436,-103,7,11.8270244934244,46.3789887734242,39.07536,1912.62,4.8877476032,0.6,1
2025-04-02T15:23:58.647,1743600238647,-103,8,11.8270313069661,46.378980942459,38.98392,1912.3152,4.8877476032,0.6,1
2025-04-02T15:23:58.859,1743600238859,-103,7.75,11.8270378120384,46.3789732190822,38.98392,1912.3152,4.83736261888,0.6,1
2025-04-02T15:23:59.064,1743600239064,-105,7.25,11.8270443077751,46.3789655300054,38.89248,1912.3152,4.83736261888,0.6,1
2025-04-02T15:23:59.484,1743600239484,-110,0.75,11.8270571168086,46.3789502368092,38.89248,1912.3152,4.83736261888,0.6,1
2025-04-02T15:23:59.696,1743600239696,-106,7,11.8270636247609,46.3789426918367,38.89248,1912.3152,4.83736261888,0.6,1
2025-04-02T15:23:59.901,1743600239901,-103,8.25,11.8270704067208,46.3789347863215,38.77056,1912.3152,4.83736261888,0.6,1
2025-04-02T15:24:00.117,1743600240117,-102,9,11.8270764306164,46.3789273382779,38.77056,1912.3152,4.83736261888,0.6,1
2025-04-02T15:24:00.326,1743600240326,-105,7,11.8270830294411,46.378919718355,38.77056,1912.3152,4.83736261888,0.6,1
2025-04-02T15:24:00.535,1743600240535,-104,7,11.827089037645,46.3789124440599,38.77056,1912.3152,4.83736261888,0.6,1
2025-04-02T15:24:00.742,1743600240742,-102,7.5,11.8270958754194,46.3789043153057,38.77056,1912.3152,4.83736261888,0.6,1
2025-04-02T15:24:00.955,1743600240955,-100,8.75,11.8271053689516,46.3788926243575,38.77056,1912.3152,4.83736261888,0.6,1
2025-04-02T15:24:01.164,1743600241164,-101,8,11.8271119282494,46.3788848592485,38.77056,1912.3152,4.83736261888,0.6,1
2025-04-02T15:24:01.376,1743600241376,-101,8.5,11.827118378103,46.3788770753234,38.67912,1912.0104,4.8877476032,0.6,1
