dateString,timestamp[ms],rssi[dBm],snr[dB],longitude,latitude,height[m],altitude[m a.s.l.],speed[m/s],depth[m],runID
2025-04-02T15:36:57.940,1743601017940,-108,7,11.8243578377707,46.3789336936771,27.37104,1900.7328,0.30000049728,0.6,1
2025-04-02T15:36:58.156,1743601018156,-110,6.5,11.8243573346458,46.3789335576302,27.2796,1900.7328,0,0.6,1
2025-04-02T15:36:58.366,1743601018366,-107,7.5,11.8243582085109,46.3789335967718,27.2796,1900.7328,0.5099027648,0.6,1
2025-04-02T15:36:58.569,1743601018569,-111,4.5,11.8243626373238,46.3789340501614,27.2796,1900.7328,1.60312433248,0.6,1
2025-04-02T15:36:58.779,1743601018779,-109,6,11.8243649584926,46.3789341385323,27.2796,1900.7328,1.80000298368,0.6,1
2025-04-02T15:36:58.989,1743601018989,-107,7.5,11.8243730440493,46.3789340077171,27.37104,1900.7328,2.10000348096,0.6,1
2025-04-02T15:36:59.198,1743601019198,-114.5,-0.5,11.8243790427191,46.378933706151,27.49296,1900.7328,2.20000364672,0.6,1
2025-04-02T15:36:59.407,1743601019407,-106,7.75,11.8243845861332,46.3789336735356,27.5844,1901.0376,2.20000364672,0.6,1
2025-04-02T15:36:59.617,1743601019617,-104,9.5,11.8243906780589,46.3789334670839,27.5844,1901.0376,2.20000364672,0.6,1
2025-04-02T15:36:59.827,1743601019827,-105,7.25,11.8243969374281,46.3789336810863,27.67584,1901.0376,2.20000364672,0.6,1
2025-04-02T15:37:00.036,1743601020036,-105,7,11.8244030062137,46.3789338311232,27.67584,1901.0376,2.40208629056,0.6,1
2025-04-02T15:37:00.246,1743601020246,-106,7.75,11.8244102059882,46.3789341826947,27.79776,1901.0376,2.70185566816,0.6,1
2025-04-02T15:37:00.456,1743601020456,-106,7.75,11.8244179341137,46.3789347482761,27.79776,1901.0376,3.10161761184,0.6,1
2025-04-02T15:37:00.665,1743601020665,-105,7,11.8244267693925,46.3789351649394,27.8892,1901.3424,3.50143364736,0.6,1
2025-04-02T15:37:00.875,1743601020875,-105,7.5,11.8244367768752,46.3789353237076,27.98064,1901.3424,3.70000613312,0.6,1
2025-04-02T15:37:01.085,1743601021085,-105,7.5,11.8244462384285,46.3789354271508,28.07208,1901.3424,3.90000646464,0.6,1
2025-04-02T15:37:01.294,1743601021294,-105,7.75,11.8244625921803,46.3789359050079,28.28544,1901.6472,4.2011969824,0.6,1
2025-04-02T15:37:01.504,1743601021504,-105,8,11.8244736021394,46.3789361816397,28.37688,1901.6472,4.40114322208,0.6,1
2025-04-02T15:37:01.713,1743601021713,-104,8.25,11.8244855382023,46.3789365325529,28.4988,1901.952,4.6010943792,0.6,1
2025-04-02T15:37:01.923,1743601021923,-104,8.5,11.8244983692837,46.3789368146938,28.68168,1901.952,4.80104911264,0.6,1
2025-04-02T15:37:02.133,1743601022133,-104,8.25,11.8245107937732,46.3789369751396,28.77312,1902.2568,5.00100786944,0.6,1
2025-04-02T15:37:02.342,1743601022342,-104,8.5,11.8245248186098,46.378937393368,28.89504,1902.2568,5.20096975552,0.6,1
