time,sim_t,x,y,z,vx,vy,vz,yaw_deg
2026-04-13T21:09:57.025444,1776125332.021452,0.0,0.0,2.8198604583740234,0.0,0.0,0.0,4.4079723524229495
2026-04-13T21:09:57.129959,1776125332.1264544,0.0,0.0,2.8198604583740234,0.0,0.0,0.0,4.4079723524229495
2026-04-13T21:09:57.238481,1776125332.2344565,0.0,0.0,2.8198604583740234,0.0,0.0,0.0,4.4079723524229495
2026-04-13T21:09:57.347007,1776125332.342459,0.0,0.0,2.8198604583740234,0.0,0.0,0.0,4.4079723524229495
2026-04-13T21:09:57.456518,1776125332.4504611,0.0,0.0,2.8198604583740234,0.0,0.0,0.0,4.4079723524229495
2026-04-13T21:09:57.564576,1776125332.5584636,0.0,0.0,2.8198604583740234,0.0,0.0,0.0,4.4079723524229495
2026-04-13T21:09:57.672591,1776125332.6664658,0.0,0.0,2.8198604583740234,0.0,0.0,0.0,4.4079723524229495
2026-04-13T21:09:57.781124,1776125332.7744682,0.0,0.0,2.8198604583740234,0.0,0.0,0.0,4.4079723524229495
2026-04-13T21:09:57.890070,1776125332.8854704,0.0,0.0,2.8198604583740234,0.0,0.0,0.0,4.4079723524229495
2026-04-13T21:09:57.998100,1776125332.9934728,0.0,0.0,2.8198604583740234,0.0,0.0,0.0,4.4079723524229495
2026-04-13T21:09:58.107121,1776125333.101475,0.0,0.0,2.8198604583740234,0.0,0.0,0.0,4.4079723524229495
2026-04-13T21:09:58.215157,1776125333.2064774,0.0,0.0,2.8198604583740234,0.0,0.0,0.0,4.4079723524229495
2026-04-13T21:09:58.324180,1776125333.3174796,0.0,0.0,2.8198604583740234,0.0,0.0,0.0,4.4079723524229495
2026-04-13T21:09:58.432197,1776125333.422482,0.0,0.0,2.8198604583740234,0.0,0.0,0.0,4.4079723524229495
2026-04-13T21:09:58.540400,1776125333.5304842,0.0,0.0,2.8198604583740234,0.0,0.0,0.0,4.4079723524229495
2026-04-13T21:09:58.648921,1776125333.6384866,0.0,0.0,2.8198604583740234,0.0,0.0,0.0,4.4079723524229495
2026-04-13T21:09:58.757448,1776125333.7464888,0.0,0.0,2.8038828372955322,0.0,0.0,-0.3423141837120056,4.4079723524229495
2026-04-13T21:09:58.865965,1776125333.8544912,0.0,0.0,2.7604780197143555,0.0,0.0,-0.4325186610221863,4.4079723524229495
2026-04-13T21:09:58.974172,1776125333.9624934,0.0,0.0,2.712784767150879,0.0,0.0,-0.4474814832210541,4.4079723524229495
2026-04-13T21:09:59.082691,1776125334.0704958,0.0,0.0,2.664090156555176,0.0,0.0,-0.4538167417049408,4.4079723524229495
2026-04-13T21:09:59.191706,1776125334.178498,0.0,0.0,2.6148059368133545,0.0,0.0,-0.4587038457393646,4.4079723524229495
2026-04-13T21:09:59.299236,1776125334.2835002,0.0,0.0,2.5664188861846924,0.0,0.0,-0.4628556966781616,4.4079723524229495
2026-04-13T21:09:59.408251,1776125334.3915026,0.0,0.0,2.516220808029175,0.0,0.0,-0.46664807200431824,4.4079723524229495
2026-04-13T21:09:59.516796,1776125334.4995048,0.0,0.0,2.4656360149383545,0.0,0.0,-0.47001704573631287,4.4079723524229495
2026-04-13T21:09:59.625315,1776125334.6075072,0.0,0.0,2.4147088527679443,0.0,0.0,-0.4730105400085449,4.4079723524229495
2026-04-13T21:09:59.734378,1776125334.7155094,0.0,0.0,2.3634769916534424,0.0,0.0,-0.47567057609558105,4.4079723524229495
2026-04-13T21:09:59.842918,1776125334.8235118,0.0,0.0,2.3119735717773438,0.0,0.0,-0.4780343472957611,4.4079723524229495
2026-04-13T21:09:59.951435,1776125334.931514,0.0,0.0,2.2602293491363525,0.0,0.0,-0.48013484477996826,4.4079723524229495
2026-04-13T21:10:00.059952,1776125335.0395164,0.0,0.0,2.208271026611328,0.0,0.0,-0.4820014536380768,4.4079723524229495
2026-04-13T21:10:00.167971,1776125335.1445186,0.0,0.0,2.1575734615325928,0.0,0.0,-0.4836166799068451,4.4079723524229495
2026-04-13T21:10:00.276351,1776125335.252521,0.0,0.0,2.1052606105804443,0.0,0.0,-0.48509570956230164,4.4079723524229495
2026-04-13T21:10:00.384866,1776125335.3605232,0.0,0.0,2.0527968406677246,0.0,0.0,-0.48640990257263184,4.4079723524229495
2026-04-13T21:10:00.493050,1776125335.4685256,0.0,0.0,2.0001988410949707,0.0,0.0,-0.48757776618003845,4.4079723524229495
2026-04-13T21:10:00.602076,1776125335.5765278,0.0,0.0,1.9474822282791138,0.0,0.0,-0.48861557245254517,4.4079723524229495
2026-04-13T21:10:00.710090,1776125335.6845303,0.0,0.0,1.8946597576141357,0.0,0.0,-0.4895378649234772,4.4079723524229495
2026-04-13T21:10:00.818117,1776125335.7895324,0.0,0.0,1.843214511871338,0.0,0.0,-0.49033603072166443,4.4079723524229495
2026-04-13T21:10:00.927136,1776125335.8975346,0.0,0.0,1.7902166843414307,0.0,0.0,-0.4910668134689331,4.4079723524229495
2026-04-13T21:10:01.036654,1776125336.005537,0.0,0.0,1.7371445894241333,0.0,0.0,-0.4917161464691162,4.4079723524229495
2026-04-13T21:10:01.144182,1776125336.1135392,0.0,0.0,1.6840062141418457,0.0,0.0,-0.49229326844215393,4.4079723524229495
2026-04-13T21:10:01.252698,1776125336.2215416,0.0,0.0,1.6308090686798096,0.0,0.0,-0.49280616641044617,4.4079723524229495
2026-04-13T21:10:01.361217,1776125336.3295438,0.0,0.0,1.5775597095489502,0.0,0.0,-0.4932619631290436,4.4079723524229495
2026-04-13T21:10:01.469740,1776125336.4375463,0.0,0.0,1.524263858795166,0.0,0.0,-0.4936670958995819,4.4079723524229495
2026-04-13T21:10:01.578265,1776125336.5455484,0.0,0.0,1.4709266424179077,0.0,0.0,-0.49402692914009094,4.4079723524229495
2026-04-13T21:10:01.687282,1776125336.6535509,0.0,0.0,1.4175529479980469,0.0,0.0,-0.49434685707092285,4.4079723524229495
2026-04-13T21:10:01.795298,1776125336.761553,0.0,0.0,1.3641469478607178,0.0,0.0,-0.4946311414241791,4.4079723524229495
2026-04-13T21:10:01.903844,1776125336.8665555,0.0,0.0,1.3121963739395142,0.0,0.0,-0.4948771893978119,4.4079723524229495
2026-04-13T21:10:02.012400,1776125336.9775577,0.0,0.0,1.2820405960083008,0.0,0.0,-0.061035268008708954,4.4079723524229495
2026-04-13T21:10:02.120429,1776125337.08256,0.0,0.0,1.2809134721755981,0.0,0.0,-0.08417901396751404,4.4079723524229495
2026-04-13T21:10:02.229261,1776125337.1905622,0.0,0.0,1.232758641242981,0.0,0.0,-0.8065323233604431,4.4079723524229495
2026-04-13T21:10:02.337785,1776125337.2985647,0.0,0.0,1.1072851419448853,0.0,0.0,-1.5130869150161743,4.4079723524229495
2026-04-13T21:10:02.447312,1776125337.4065669,0.0,0.0,0.9070011973381042,0.0,0.0,-2.1897919178009033,4.4079723524229495
2026-04-13T21:10:02.555524,1776125337.5145693,0.0,0.0,0.6357614994049072,0.0,0.0,-2.825409412384033,4.4079723524229495
2026-04-13T21:10:02.663538,1776125337.6225715,0.0,0.0,0.2984815537929535,0.0,0.0,-3.4116005897521973,4.4079723524229495
2026-04-13T21:10:02.771556,1776125337.7275739,0.0,0.0,-0.08738166838884354,0.0,0.0,-3.9291388988494873,4.4079723524229495
2026-04-13T21:10:02.880075,1776125337.835576,0.0,0.0,-0.5379696488380432,0.0,0.0,-4.405359745025635,4.4079723524229495
2026-04-13T21:10:02.989091,1776125337.9435785,0.0,0.0,-1.0369199514389038,0.0,0.0,-4.824944972991943,4.4079723524229495
2026-04-13T21:10:03.097630,1776125338.0485806,0.0,0.0,-1.5626658201217651,0.0,0.0,-5.180718421936035,4.4079723524229495
2026-04-13T21:10:03.205657,1776125338.1565828,0.0,0.0,-2.1396920680999756,0.0,0.0,-5.4965996742248535,4.4079723524229495
2026-04-13T21:10:03.314695,1776125338.2645853,0.0,0.0,-2.7482922077178955,0.0,0.0,-5.766226291656494,4.4079723524229495
2026-04-13T21:10:03.423215,1776125338.3725874,0.0,0.0,-3.3837385177612305,0.0,0.0,-5.994570255279541,4.4079723524229495
2026-04-13T21:10:03.531224,1776125338.4805899,0.0,0.0,-4.041843891143799,0.0,0.0,-6.186661243438721,4.4079723524229495
2026-04-13T21:10:03.640739,1776125338.588592,0.0,0.0,-4.7189555168151855,0.0,0.0,-6.347344875335693,4.4079723524229495
2026-04-13T21:10:03.748256,1776125338.6935945,0.0,0.0,-5.392492771148682,0.0,0.0,-6.477728843688965,4.4079723524229495
2026-04-13T21:10:03.857274,1776125338.8045967,0.0,0.0,-6.118085861206055,0.0,0.0,-6.592045783996582,4.4079723524229495
2026-04-13T21:10:03.965291,1776125338.909599,0.0,0.0,-6.815103530883789,0.0,0.0,-6.681406021118164,4.4079723524229495
2026-04-13T21:10:04.073809,1776125339.0176013,0.0,0.0,-7.540945529937744,0.0,0.0,-6.757366180419922,4.4079723524229495
2026-04-13T21:10:04.182365,1776125339.1256037,0.0,0.0,-8.274237632751465,0.0,0.0,-6.81981897354126,4.4079723524229495
2026-04-13T21:10:04.290900,1776125339.2336059,0.0,0.0,-9.013653755187988,0.0,0.0,-6.871060371398926,4.4079723524229495
2026-04-13T21:10:04.399438,1776125339.3416083,0.0,0.0,-9.758087158203125,0.0,0.0,-6.913029193878174,4.4079723524229495
2026-04-13T21:10:04.507457,1776125339.4496105,0.0,0.0,-10.50662612915039,0.0,0.0,-6.9473490715026855,4.4079723524229495
2026-04-13T21:10:04.616690,1776125339.557613,0.0,0.0,-11.25852108001709,0.0,0.0,-6.9753737449646,4.4079723524229495
2026-04-13T21:10:04.725209,1776125339.665615,0.0,0.0,-12.013155937194824,0.0,0.0,-6.998226642608643,4.4079723524229495
2026-04-13T21:10:04.834228,1776125339.7736175,0.0,0.0,-12.77001953125,0.0,0.0,-7.016835689544678,4.4079723524229495
2026-04-13T21:10:04.942241,1776125339.8786197,0.0,0.0,-13.507603645324707,0.0,0.0,-7.031588554382324,4.4079723524229495
2026-04-13T21:10:05.050765,1776125339.9866219,0.0,0.0,-14.267718315124512,0.0,0.0,-7.043946266174316,4.4079723524229495
2026-04-13T21:10:05.159282,1776125340.0946243,0.0,0.0,-15.029040336608887,0.0,0.0,-7.053964138031006,4.4079723524229495
2026-04-13T21:10:05.268304,1776125340.2026265,0.0,0.0,-15.791340827941895,0.0,0.0,-7.062069416046143,4.4079723524229495
2026-04-13T21:10:05.376334,1776125340.310629,0.0,0.0,-16.554426193237305,0.0,0.0,-7.068612575531006,4.4079723524229495
2026-04-13T21:10:05.484853,1776125340.418631,0.0,0.0,-17.318147659301758,0.0,0.0,-7.073878288269043,4.4079723524229495
2026-04-13T21:10:05.593375,1776125340.5266335,0.0,0.0,-18.082382202148438,0.0,0.0,-7.078103542327881,4.4079723524229495
2026-04-13T21:10:05.701897,1776125340.6346357,0.0,0.0,-18.847021102905273,0.0,0.0,-7.081479072570801,4.4079723524229495
2026-04-13T21:10:05.810415,1776125340.742638,0.0,0.0,-19.611989974975586,0.0,0.0,-7.084160804748535,4.4079723524229495
2026-04-13T21:10:05.918443,1776125340.8506403,0.0,0.0,-20.377216339111328,0.0,0.0,-7.086276531219482,4.4079723524229495
2026-04-13T21:10:06.027459,1776125340.9616427,0.0,0.0,-21.16390609741211,0.0,0.0,-7.087972164154053,4.4079723524229495
2026-04-13T21:10:06.135481,1776125341.0696452,0.0,0.0,-21.929494857788086,0.0,0.0,-7.089241981506348,4.4079723524229495
2026-04-13T21:10:06.245002,1776125341.1776474,0.0,0.0,-22.695205688476562,0.0,0.0,-7.090205192565918,4.4079723524229495
2026-04-13T21:10:06.353543,1776125341.2826495,0.0,0.0,-23.439729690551758,0.0,0.0,-7.0909037590026855,4.4079723524229495
2026-04-13T21:10:06.461582,1776125341.390652,0.0,0.0,-24.205596923828125,0.0,0.0,-7.091421127319336,4.4079723524229495
2026-04-13T21:10:06.569817,1776125341.4986541,0.0,0.0,-24.971500396728516,0.0,0.0,-7.091771602630615,4.4079723524229495
2026-04-13T21:10:06.678335,1776125341.6066566,0.0,0.0,-25.73745346069336,0.0,0.0,-7.091986656188965,4.4079723524229495
2026-04-13T21:10:06.787353,1776125341.7146587,0.0,0.0,-26.503406524658203,0.0,0.0,-7.092091083526611,4.4079723524229495
2026-04-13T21:10:06.895873,1776125341.8226612,0.0,0.0,-27.269359588623047,0.0,0.0,-7.092105865478516,4.4079723524229495
2026-04-13T21:10:07.003895,1776125341.9306633,0.0,0.0,-28.03531265258789,0.0,0.0,-7.092046737670898,4.4079723524229495
2026-04-13T21:10:07.112915,1776125342.0386658,0.0,0.0,-28.801265716552734,0.0,0.0,-7.091928005218506,4.4079723524229495
2026-04-13T21:10:07.220953,1776125342.146668,0.0,0.0,-29.567218780517578,0.0,0.0,-7.09175968170166,4.4079723524229495
